Transaction Date,Post Date,Description,Category,Type,Amount,Memo
02/27/2022,02/28/2022,BENEVITY DONATIONS,Gifts & Donations,Sale,-25.00,
02/27/2022,02/28/2022,BENEVITY DONATIONS,Gifts & Donations,Sale,-20.00,
02/27/2022,02/28/2022,AMZN Mktp US*1I4S82NA2,Shopping,Sale,-7.43,
02/27/2022,02/28/2022,Amazon.com*1I3HD0NS2,Shopping,Sale,-19.99,
02/27/2022,02/28/2022,BENEVITY DONATIONS,Gifts & Donations,Sale,-20.00,
02/27/2022,02/28/2022,BENEVITY DONATIONS,Gifts & Donations,Sale,-100.00,
02/26/2022,02/27/2022,WALGREENS #17166,Health & Wellness,Sale,-24.72,
02/26/2022,02/27/2022,MICHAELS STORES 1239,Shopping,Sale,-59.56,
02/25/2022,02/27/2022,CVS/PHARMACY #00973,Health & Wellness,Sale,-34.50,
02/25/2022,02/27/2022,PHR*DermatologyAssociates,Health & Wellness,Sale,-200.00,
02/26/2022,02/27/2022,LOWES #02375*,Home,Sale,-33.30,
02/24/2022,02/25/2022,MARKET BASKET 00000877,Groceries,Sale,-81.74,
02/23/2022,02/25/2022,GRABULL INC,Food & Drink,Sale,-45.73,
02/23/2022,02/24/2022,AMZN Mktp US*1I7UY0TB0,Shopping,Sale,-29.73,
02/23/2022,02/24/2022,Amazon.com*1I4ZE8Q61,Shopping,Sale,-17.07,
02/22/2022,02/23/2022,WAL-MART #1970,Groceries,Sale,-4.08,
02/22/2022,02/23/2022,INNOVATIONS HAIR SAL,Personal,Sale,-66.00,
02/22/2022,02/22/2022,AMZN Mktp US*ZO9OW7NT3,Shopping,Sale,-97.05,
02/21/2022,02/21/2022,AMZN Mktp US*1B3TM8U90,Shopping,Sale,-182.98,
02/19/2022,02/20/2022,BEST BUY MHT  00008201,Shopping,Sale,-126.41,
02/18/2022,02/20/2022,IDYLWILDE FARMS INC,Groceries,Sale,-80.93,
02/16/2022,02/18/2022,SHAWS OSCO 2584,Groceries,Sale,-28.87,
02/16/2022,02/17/2022,CVS/PHARMACY #00973,Health & Wellness,Sale,-1.80,
02/16/2022,02/17/2022,BJS FUEL #9209,Gas,Sale,-43.70,
02/16/2022,02/17/2022,BJS WHOLESALE #0209,Shopping,Sale,-157.92,
02/15/2022,02/16/2022,MICHAELS STORES 1239,Shopping,Sale,-23.09,
02/15/2022,02/16/2022,MARKET BASKET 00000737,Groceries,Sale,-33.42,
02/13/2022,02/14/2022,EVVIVA TRATTORIA MAYNARD,Food & Drink,Sale,-26.20,
02/13/2022,02/14/2022,EVVIVA TRATTORIA MAYNARD,Food & Drink,Sale,-41.63,
02/13/2022,02/14/2022,110 GRILL MAYNARD,Food & Drink,Sale,-18.10,
02/11/2022,02/14/2022,GRABULL INC,Food & Drink,Sale,-83.61,
02/13/2022,02/14/2022,Microsoft*OneDrive Standa,Shopping,Sale,-1.99,
02/12/2022,02/14/2022,MARKET BASKET 00000877,Groceries,Sale,-8.58,
02/10/2022,02/13/2022,SHAWS OSCO 2584,Groceries,Sale,-86.41,
02/12/2022,02/13/2022,LinkedIn 7549211334,Bills & Utilities,Sale,-31.86,
02/12/2022,02/13/2022,LOWES #02375*,Home,Sale,-28.09,
02/11/2022,02/13/2022,SHAWS OSCO 2584,Groceries,Sale,-36.33,
